temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,hour,day,month,day_of_week,is_weekend,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_6h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_6h,pm10_lag_24h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_2h,nitrogen_dioxide_lag_6h,nitrogen_dioxide_lag_24h,sulphur_dioxide_lag_1h,sulphur_dioxide_lag_2h,sulphur_dioxide_lag_6h,sulphur_dioxide_lag_24h,carbon_monoxide_lag_1h,carbon_monoxide_lag_2h,carbon_monoxide_lag_6h,carbon_monoxide_lag_24h,pm2_5_roll_mean_6h,pm2_5_roll_std_6h,pm2_5_roll_mean_24h,pm2_5_roll_std_24h,pm10_roll_mean_6h,pm10_roll_std_6h,pm10_roll_mean_24h,pm10_roll_std_24h,nitrogen_dioxide_roll_mean_6h,nitrogen_dioxide_roll_std_6h,nitrogen_dioxide_roll_mean_24h,nitrogen_dioxide_roll_std_24h,sulphur_dioxide_roll_mean_6h,sulphur_dioxide_roll_std_6h,sulphur_dioxide_roll_mean_24h,sulphur_dioxide_roll_std_24h,carbon_monoxide_roll_mean_6h,carbon_monoxide_roll_std_6h,carbon_monoxide_roll_mean_24h,carbon_monoxide_roll_std_24h
34.25,54,0.0,1003.016,8.574123,219,6,2,6,1,0,28.9,28.1,24.2,28.1,69.2,65.2,42.0,67.5,5.7,7.3,21.1,4.1,7.7,8.3,9.6,6.8,250.0,292.0,171.0,210.0,26.75,1.7398275776638576,27.35,3.0741559463710586,57.66666666666666,10.259369701237294,58.96666666666667,10.457228274662814,12.533333333333331,6.086597297888755,10.729166666666666,5.534514563109884,8.816666666666666,0.7139094246937919,6.916666666666667,1.2446989042812031,252.16666666666663,51.09761899214759,212.58333333333331,43.187072005471606
34.85,52,0.0,1002.4254,8.287822,214,7,2,6,1,0,29.6,28.9,25.6,27.9,72.6,69.2,49.5,65.2,4.5,5.7,17.9,3.4,7.3,7.7,9.4,6.5,222.0,250.0,217.0,201.0,27.65,1.5424007261407933,27.4125,3.1051587511051766,62.76666666666666,8.339944044576418,59.17916666666667,10.687456246202572,9.766666666666666,5.107902374425994,10.745833333333332,5.514248671015583,8.433333333333332,0.8189424074174129,6.9375,1.2468438415524934,260.6666666666667,37.26481808176025,213.08333333333331,43.22531129132416
35.95,49,0.0,1001.34265,8.037761,214,8,2,6,1,0,31.0,29.6,26.2,27.1,75.9,72.6,57.5,62.4,3.8,4.5,13.5,3.1,7.4,7.3,9.1,6.0,221.0,222.0,275.0,202.0,28.55,1.676603709884839,27.541666666666668,3.189645839228861,67.16666666666667,6.754159212416127,59.625,11.162174090865284,7.416666666666667,3.6542669123459968,10.7625,5.491638901647392,8.1,0.7509993342207216,6.9750000000000005,1.2466476786897716,261.3333333333333,36.35198298121693,213.91666666666663,43.17498940526703
36.25,50,0.0,1000.44934,9.12513,202,9,2,6,1,0,31.7,31.0,27.5,25.9,74.5,75.9,62.6,57.6,3.6,3.8,9.7,3.2,7.7,7.4,8.8,5.7,233.0,221.0,308.0,207.0,29.46666666666667,1.637884814834741,27.73333333333333,3.298308745358746,70.0,5.296413881108513,60.12916666666667,11.559166479904448,5.766666666666667,2.3661501783840277,10.783333333333331,5.462175603076178,7.866666666666666,0.5750362307425843,7.045833333333333,1.2371001037372251,254.33333333333331,37.22723017720608,215.20833333333331,43.2665943703198
35.55,53,0.0,999.843,10.196647,200,10,2,6,1,0,32.2,31.7,28.1,24.7,74.0,74.5,65.2,53.0,4.0,3.6,7.3,3.8,8.1,7.7,8.3,5.5,250.0,233.0,292.0,219.0,30.25,1.6330952207386855,27.995833333333334,3.3953266048530626,71.9,3.9959979979973625,60.8125,11.88335747095956,4.816666666666666,1.4302680401472918,10.816666666666665,5.416132638112106,7.75,0.3885871845544755,7.145833333333333,1.2204700329992793,244.66666666666663,26.485216001888272,217.0,43.79894777374165
35.0,54,0.0,999.7372,9.179999,208,11,2,6,1,0,32.5,32.2,28.9,23.2,73.1,74.0,69.2,47.4,4.9,4.0,5.7,4.8,8.4,8.1,7.7,5.4,275.0,250.0,250.0,236.0,30.98333333333333,1.452469162036211,28.320833333333336,3.4391580322826583,73.21666666666667,2.2798391756142764,61.65,12.01636565182096,4.416666666666667,0.7884584115010632,10.8625,5.35852125124087,7.766666666666667,0.4179314138308345,7.266666666666667,1.1937032865129718,241.83333333333331,20.68252080058612,219.33333333333331,45.37349031304951
33.9,59,0.0,999.32544,9.965239,200,12,2,6,1,0,32.1,32.5,29.6,34.7,71.9,73.1,72.6,79.2,6.3,4.9,4.5,6.3,8.7,8.4,7.3,5.8,304.0,275.0,222.0,245.0,31.516666666666666,1.0722251007443109,28.691666666666663,3.341428575854355,73.66666666666667,1.4403703227523053,62.67083333333334,11.79172440708972,4.516666666666667,0.9948199167019016,10.925,5.293084084957918,7.933333333333334,0.5609515724789764,7.404166666666668,1.1588897110246628,250.83333333333331,33.01767203584592,222.16666666666663,48.47649961056124
32.1,66,0.0,999.1046,11.811622,187,13,2,6,1,0,31.3,32.1,31.0,33.3,71.0,71.9,75.9,76.1,8.4,6.3,3.8,8.1,8.9,8.7,7.4,5.9,318.0,304.0,221.0,238.0,31.8,0.5727128425305896,28.55,3.141724810133524,73.4,1.7843766418553306,62.32916666666667,11.404403389334682,5.166666666666667,1.8704723111200472,11.012499999999998,5.230289085035692,8.2,0.5796550698475462,7.533333333333332,1.144995411673605,266.8333333333333,38.9739229057929,225.20833333333331,52.12441568156825
30.7,75,0.0,999.2869,10.814989,198,14,2,6,1,0,29.9,31.3,31.7,32.0,68.7,71.0,74.5,73.6,12.0,8.4,3.6,10.6,9.0,8.9,7.7,6.0,305.0,318.0,233.0,224.0,31.61666666666667,0.9389710680666064,28.40833333333333,2.9912795962912324,72.2,2.1503488089142357,62.020833333333336,11.112193818021584,6.533333333333334,3.197290519591041,11.175,5.196340685688262,8.466666666666667,0.5006662228137867,7.662499999999999,1.1274490251660203,280.8333333333333,33.984800524156306,228.0,54.57583475431617
30.25,77,0.0,1000.07837,8.723967,201,15,2,6,1,0,28.6,29.9,32.2,31.1,66.6,68.7,74.0,69.8,16.2,12.0,4.0,12.7,8.9,9.0,8.1,6.1,278.0,305.0,250.0,212.0,31.1,1.5427248620539888,28.266666666666666,2.892669395538296,70.88333333333333,2.785258815023389,61.72916666666666,10.884591389213774,8.633333333333333,4.679601122602943,11.408333333333331,5.2942065683543005,8.666666666666666,0.3502380143082984,7.783333333333332,1.0965030052761795,288.3333333333333,25.12900051069876,230.25,55.50891036973048
30.35,76,0.0,1001.47437,2.4014995,167,16,2,6,1,0,27.3,28.6,32.5,29.9,62.6,66.6,73.1,63.8,19.0,16.2,4.9,14.0,8.8,8.9,8.4,6.3,255.0,278.0,275.0,209.0,30.28333333333333,2.055642640797812,28.10833333333333,2.834249638703794,68.98333333333333,3.8994444048691617,61.42916666666667,10.750873742719044,11.133333333333333,5.621269133093229,11.670833333333334,5.512710937828865,8.783333333333333,0.2136976056642117,7.895833333333333,1.0539693777692714,289.1666666666667,23.642475899674693,232.04166666666663,55.58814322017471
30.25,76,0.0,1000.77576,8.187527,213,17,2,6,1,0,24.1,27.3,32.1,28.9,55.2,62.6,71.9,59.3,19.2,19.0,6.3,15.0,8.5,8.8,8.7,6.4,247.0,255.0,304.0,208.0,28.883333333333336,2.921928586852572,27.866666666666664,2.920790045989862,66.0,6.255557529109507,61.07083333333333,10.81156704109352,13.516666666666666,5.479568109501575,11.8875,5.706998944850241,8.8,0.1788854381998431,7.987500000000001,1.003607622963052,284.5,29.12559012277743,233.625,55.44430225166425
29.85,78,0.0,1000.57135,7.0107627,209,18,2,6,1,0,20.6,24.1,31.3,25.4,46.1,55.2,71.0,52.5,17.9,19.2,8.4,15.7,8.1,8.5,8.9,6.6,243.0,247.0,318.0,202.0,26.96666666666667,3.9727404479359527,27.52083333333333,3.264296870379723,61.7,9.443728077406636,60.520833333333336,11.233102446773636,15.45,4.355111938859894,12.008333333333333,5.805613225795899,8.700000000000001,0.3405877273184579,8.058333333333334,0.9449714358078424,274.3333333333333,31.506613062446,235.08333333333331,55.20075351302539
